standard_time_label,standard_time_ms,master_category,master_time_adjustment_ms,,,,,
10:43,643000,MasE,51000,,,,,
10:43,643000,MasF,70000,,,,,
10:43,643000,MasG,90000,,,,,
10:43,643000,MasH,112000,,,,,
10:43,643000,MasI,137000,,,,,
10:43,643000,MasJ,161000,,,,,
10:44,644000,MasB,6000,,,,,
10:44,644000,MasC,18000,,,,,
10:44,644000,MasD,35000,,,,,
10:44,644000,MasE,51000,,,,,
10:44,644000,MasF,70000,,,,,
10:44,644000,MasG,90000,,,,,
10:44,644000,MasH,112000,,,,,
10:44,644000,MasI,137000,,,,,
10:44,644000,MasJ,161000,,,,,
10:45,645000,MasB,6000,,,,,
10:45,645000,MasC,19000,,,,,
10:45,645000,MasD,36000,,,,,
10:45,645000,MasE,51000,,,,,
10:45,645000,MasF,70000,,,,,
10:45,645000,MasG,90000,,,,,
10:45,645000,MasH,113000,,,,,
10:45,645000,MasI,137000,,,,,
10:45,645000,MasJ,162000,,,,,
10:46,646000,MasB,6000,,,,,
10:46,646000,MasC,19000,,,,,
10:46,646000,MasD,36000,,,,,
10:46,646000,MasE,51000,,,,,
10:46,646000,MasF,70000,,,,,
10:46,646000,MasG,90000,,,,,
10:46,646000,MasH,113000,,,,,
10:46,646000,MasI,137000,,,,,
10:46,646000,MasJ,162000,,,,,
10:47,647000,MasB,6000,,,,,
10:47,647000,MasC,19000,,,,,
10:47,647000,MasD,36000,,,,,
10:47,647000,MasE,51000,,,,,
10:47,647000,MasF,70000,,,,,
10:47,647000,MasG,90000,,,,,
10:47,647000,MasH,113000,,,,,
10:47,647000,MasI,137000,,,,,
10:47,647000,MasJ,162000,,,,,
10:48,648000,MasB,6000,,,,,
10:48,648000,MasC,19000,,,,,
10:48,648000,MasD,36000,,,,,
10:48,648000,MasE,51000,,,,,
10:48,648000,MasF,70000,,,,,
10:48,648000,MasG,90000,,,,,
10:48,648000,MasH,113000,,,,,
10:48,648000,MasI,137000,,,,,
10:48,648000,MasJ,162000,,,,,
10:49,649000,MasB,6000,,,,,
10:49,649000,MasC,19000,,,,,
10:49,649000,MasD,36000,,,,,
10:49,649000,MasE,51000,,,,,
10:49,649000,MasF,70000,,,,,
10:49,649000,MasG,90000,,,,,
10:49,649000,MasH,113000,,,,,
10:49,649000,MasI,138000,,,,,
10:49,649000,MasJ,162000,,,,,
10:50,650000,MasB,6000,,,,,
10:50,650000,MasC,19000,,,,,
10:50,650000,MasD,36000,,,,,
10:50,650000,MasE,51000,,,,,
10:50,650000,MasF,70000,,,,,
10:50,650000,MasG,90000,,,,,
10:50,650000,MasH,113000,,,,,
10:50,650000,MasI,138000,,,,,
10:50,650000,MasJ,162000,,,,,
10:51,651000,MasB,6000,,,,,
10:51,651000,MasC,19000,,,,,
10:51,651000,MasD,36000,,,,,
10:51,651000,MasE,51000,,,,,
10:51,651000,MasF,70000,,,,,
10:51,651000,MasG,90000,,,,,
10:51,651000,MasH,113000,,,,,
10:51,651000,MasI,138000,,,,,
10:51,651000,MasJ,163000,,,,,
10:52,652000,MasB,6000,,,,,
10:52,652000,MasC,19000,,,,,
10:52,652000,MasD,36000,,,,,
10:52,652000,MasE,51000,,,,,
10:52,652000,MasF,70000,,,,,
10:52,652000,MasG,90000,,,,,
10:52,652000,MasH,113000,,,,,
10:52,652000,MasI,138000,,,,,
10:52,652000,MasJ,163000,,,,,
10:53,653000,MasB,6000,,,,,
10:53,653000,MasC,19000,,,,,
10:53,653000,MasD,36000,,,,,
10:53,653000,MasE,52000,,,,,
10:53,653000,MasF,70000,,,,,
10:53,653000,MasG,90000,,,,,
10:53,653000,MasH,113000,,,,,
10:53,653000,MasI,138000,,,,,
10:53,653000,MasJ,163000,,,,,
10:54,654000,MasB,6000,,,,,
10:54,654000,MasC,19000,,,,,
10:54,654000,MasD,36000,,,,,
10:54,654000,MasE,52000,,,,,
10:54,654000,MasF,71000,,,,,
10:54,654000,MasG,91000,,,,,
10:54,654000,MasH,113000,,,,,
10:54,654000,MasI,138000,,,,,
10:54,654000,MasJ,163000,,,,,
10:55,655000,MasB,6000,,,,,
10:55,655000,MasC,19000,,,,,
10:55,655000,MasD,36000,,,,,
10:55,655000,MasE,52000,,,,,
10:55,655000,MasF,71000,,,,,
10:55,655000,MasG,91000,,,,,
10:55,655000,MasH,114000,,,,,
10:55,655000,MasI,138000,,,,,
10:55,655000,MasJ,163000,,,,,
10:56,656000,MasB,6000,,,,,
10:56,656000,MasC,19000,,,,,
10:56,656000,MasD,36000,,,,,
10:56,656000,MasE,52000,,,,,
10:56,656000,MasF,71000,,,,,
10:56,656000,MasG,91000,,,,,
10:56,656000,MasH,114000,,,,,
10:56,656000,MasI,138000,,,,,
10:56,656000,MasJ,163000,,,,,
10:57,657000,MasB,6000,,,,,
10:57,657000,MasC,19000,,,,,
10:57,657000,MasD,36000,,,,,
10:57,657000,MasE,52000,,,,,
10:57,657000,MasF,71000,,,,,
10:57,657000,MasG,91000,,,,,
10:57,657000,MasH,114000,,,,,
10:57,657000,MasI,139000,,,,,
10:57,657000,MasJ,164000,,,,,
10:58,658000,MasB,6000,,,,,
10:58,658000,MasC,19000,,,,,
10:58,658000,MasD,36000,,,,,
10:58,658000,MasE,52000,,,,,
10:58,658000,MasF,71000,,,,,
10:58,658000,MasG,91000,,,,,
10:58,658000,MasH,114000,,,,,
10:58,658000,MasI,139000,,,,,
10:58,658000,MasJ,164000,,,,,
10:59,659000,MasB,6000,,,,,
10:59,659000,MasC,19000,,,,,
10:59,659000,MasD,36000,,,,,
10:59,659000,MasE,52000,,,,,
10:59,659000,MasF,71000,,,,,
10:59,659000,MasG,91000,,,,,
10:59,659000,MasH,114000,,,,,
10:59,659000,MasI,139000,,,,,
10:59,659000,MasJ,164000,,,,,
11:00,660000,MasB,6000,,,,,
11:00,660000,MasC,19000,,,,,
11:00,660000,MasD,36000,,,,,
11:00,660000,MasE,52000,,,,,
11:00,660000,MasF,71000,,,,,
11:00,660000,MasG,91000,,,,,
11:00,660000,MasH,114000,,,,,
11:00,660000,MasI,139000,,,,,
11:00,660000,MasJ,164000,,,,,
11:01,661000,MasB,6000,,,,,
11:01,661000,MasC,19000,,,,,
11:01,661000,MasD,36000,,,,,
11:01,661000,MasE,52000,,,,,
11:01,661000,MasF,71000,,,,,
11:01,661000,MasG,91000,,,,,
11:01,661000,MasH,114000,,,,,
11:01,661000,MasI,139000,,,,,
11:01,661000,MasJ,164000,,,,,
11:02,662000,MasB,6000,,,,,
11:02,662000,MasC,19000,,,,,
11:02,662000,MasD,36000,,,,,
11:02,662000,MasE,52000,,,,,
11:02,662000,MasF,71000,,,,,
11:02,662000,MasG,91000,,,,,
11:02,662000,MasH,114000,,,,,
11:02,662000,MasI,139000,,,,,
11:02,662000,MasJ,164000,,,,,
11:03,663000,MasB,6000,,,,,
11:03,663000,MasC,19000,,,,,
11:03,663000,MasD,36000,,,,,
11:03,663000,MasE,52000,,,,,
11:03,663000,MasF,71000,,,,,
11:03,663000,MasG,91000,,,,,
11:03,663000,MasH,114000,,,,,
11:03,663000,MasI,139000,,,,,
11:03,663000,MasJ,164000,,,,,
11:04,664000,MasB,6000,,,,,
11:04,664000,MasC,19000,,,,,
11:04,664000,MasD,36000,,,,,
11:04,664000,MasE,52000,,,,,
11:04,664000,MasF,71000,,,,,
11:04,664000,MasG,91000,,,,,
11:04,664000,MasH,114000,,,,,
11:04,664000,MasI,140000,,,,,
11:04,664000,MasJ,165000,,,,,
11:05,665000,MasB,6000,,,,,
11:05,665000,MasC,19000,,,,,
11:05,665000,MasD,36000,,,,,
11:05,665000,MasE,52000,,,,,
11:05,665000,MasF,71000,,,,,
11:05,665000,MasG,91000,,,,,
11:05,665000,MasH,115000,,,,,
11:05,665000,MasI,140000,,,,,
11:05,665000,MasJ,165000,,,,,
11:06,666000,MasB,6000,,,,,
11:06,666000,MasC,19000,,,,,
11:06,666000,MasD,36000,,,,,
11:06,666000,MasE,52000,,,,,
11:06,666000,MasF,71000,,,,,
11:06,666000,MasG,92000,,,,,
11:06,666000,MasH,115000,,,,,
11:06,666000,MasI,140000,,,,,
11:06,666000,MasJ,165000,,,,,
11:07,667000,MasB,6000,,,,,
11:07,667000,MasC,19000,,,,,
11:07,667000,MasD,36000,,,,,
11:07,667000,MasE,52000,,,,,
11:07,667000,MasF,71000,,,,,
11:07,667000,MasG,92000,,,,,
11:07,667000,MasH,115000,,,,,
11:07,667000,MasI,140000,,,,,
11:07,667000,MasJ,165000,,,,,
11:08,668000,MasB,6000,,,,,
11:08,668000,MasC,19000,,,,,
11:08,668000,MasD,36000,,,,,
11:08,668000,MasE,52000,,,,,
11:08,668000,MasF,72000,,,,,
11:08,668000,MasG,92000,,,,,
11:08,668000,MasH,115000,,,,,
11:08,668000,MasI,140000,,,,,
11:08,668000,MasJ,165000,,,,,
11:09,669000,MasB,6000,,,,,
11:09,669000,MasC,19000,,,,,
11:09,669000,MasD,36000,,,,,
11:09,669000,MasE,52000,,,,,
11:09,669000,MasF,72000,,,,,
11:09,669000,MasG,92000,,,,,
11:09,669000,MasH,115000,,,,,
11:09,669000,MasI,140000,,,,,
11:09,669000,MasJ,165000,,,,,
11:10,670000,MasB,6000,,,,,
11:10,670000,MasC,19000,,,,,
11:10,670000,MasD,36000,,,,,
11:10,670000,MasE,53000,,,,,
11:10,670000,MasF,72000,,,,,
11:10,670000,MasG,92000,,,,,
11:10,670000,MasH,115000,,,,,
11:10,670000,MasI,140000,,,,,
11:10,670000,MasJ,166000,,,,,
11:11,671000,MasB,6000,,,,,
11:11,671000,MasC,19000,,,,,
11:11,671000,MasD,36000,,,,,
11:11,671000,MasE,53000,,,,,
11:11,671000,MasF,72000,,,,,
11:11,671000,MasG,92000,,,,,
11:11,671000,MasH,115000,,,,,
11:11,671000,MasI,140000,,,,,
11:11,671000,MasJ,166000,,,,,
11:12,672000,MasB,6000,,,,,
11:12,672000,MasC,19000,,,,,
11:12,672000,MasD,36000,,,,,
11:12,672000,MasE,53000,,,,,
11:12,672000,MasF,72000,,,,,
11:12,672000,MasG,92000,,,,,
11:12,672000,MasH,115000,,,,,
11:12,672000,MasI,141000,,,,,
11:12,672000,MasJ,166000,,,,,
11:13,673000,MasB,6000,,,,,
11:13,673000,MasC,19000,,,,,
11:13,673000,MasD,36000,,,,,
11:13,673000,MasE,53000,,,,,
